/playlist?id=5212877669,[EDM Progressive House] 感受电音正能量,431万,云音乐电音专区
/playlist?id=7336545029,[卧室漫游] 盖上被子 独享你心里的宇宙,119万,云音乐官方歌单
/playlist?id=5252671474,[Trip Hop] 神游舞曲 致幻神游,434万,云音乐电音专区
/playlist?id=7403566770,[健身必备] 动感节奏点燃训练激情,219万,云音乐官方歌单
/playlist?id=2829816518,[欧美私人订制] 最懂你的欧美推荐 每日更新35首,41794万,云音乐官方歌单
/playlist?id=7479923898,[HIIT一下] 热力节奏，极速燃脂！,70万,云音乐官方歌单
/playlist?id=7461646215,[她力量] 手握麦克风的她们势不可挡,88万,云音乐官方歌单
/playlist?id=7725920397,[徒步随响]深秋轨迹，在路途中找答案,16万,云音乐官方歌单
/playlist?id=2859214503,[一周欧美上新]Alec Benjamin热单《Paper Crown》重录发行,3689万,云音乐官方歌单
/playlist?id=7680903955,[出门大作战] 合着音乐不紧不慢,98833,云音乐官方歌单
/playlist?id=7461440491,[HipHop练习曲] 律动型歌荒拯救计划,168万,云音乐官方歌单
/playlist?id=5212729721,[欧美点唱机] 重温热播欧美流行单曲 每日30首,2748万,云音乐官方歌单
/playlist?id=6675213621,[当代节奏布鲁斯] 来一杯丝滑且醇厚的R&B咖啡,170万,云音乐官方歌单
/playlist?id=6654532835,[打游戏听说唱] 说唱律动是你最佳游戏伴侣,675万,云音乐官方歌单
/playlist?id=5395488578,[一周欧美说唱] 嘻哈众星云集Metro Boomin新专,756万,云音乐官方歌单
/playlist?id=2829779628,[运动随身听] 必听活力音乐燃料 今天运动了吗,8427万,云音乐官方歌单
/playlist?id=7669623718,Chill Time丨浸润于夜色中的一抹寂静,10万,丨IIIIIIIIII丨
/playlist?id=6948039584,微醺｜R&B 慵懒 浪漫氛围感,667万,-孤岛与海_
/playlist?id=7717519184,Chill Time丨围炉夜话 温酒煮茶,27693,丨IIIIIIIIII丨
/playlist?id=7641567359,Chill Time丨安逸恬静的舒适角落,22544,丨IIIIIIIIII丨
/playlist?id=7636411529,英文说唱丨欧美腔调与丝滑Flow的化学反应,42万,芳心收集人士
/playlist?id=2863615757,双倍快乐 | 听了心情会变好,394万,RgC2
/playlist?id=7559330337,Chill Time丨落日渐沉 晕染宁静小时光,10万,丨IIIIIIIIII丨
/playlist?id=6960440256,一些很欲 缠绵 性感 的歌｜欧美,354万,alwaysbeROMANTIC
/playlist?id=7647692003,『地下/匪帮/New Wave』Trap 陷阱说唱,43430,贝嘞个京泽
/playlist?id=7644469463,秋游絮语➹轻快律动，氤氲遐想氛围,18万,Martin网易云Carlos
